Advertiser;;
Art of Click;38;123,09
AlliTapp;1;0
Persona.ly;1;0
BlackFox;1;0
Epom Market;1;0
Instal;1;0
Seko Media;1;0
Kwanko (Swelen);150;147
Nanalab;111;766
Ad3traffic;1;0
Adooya Crossrider CPA;1;0
Marvel Media;210;84
MoBrain (Headway);130;57,62
Buongiorno (taplinks);50;435,5
IDB Group;2;0
Image Perfect;1;0
Maverick CPA;1;0
Mobilogia;1;5,22
Mobsai;37;127,65
Adxperience;1;0
JungleTap;13;9,1
Laddez;1;0
Trooperads;1;0
MobChain;1;0
Mobobeat CPI;3;5,4
Adacts;1;0
Glize;3;17,25
Adstacks;1;0
App Promoters;1;0
Gold360;137;54,8
Crowmobi;1;0
Superads;1;0
