Mobquid;11782;8594,1
Admitad;107;3834
Applift;1494;3435,72
Mobquid CPA;2724;3130,3
Digital Galaxy;254;1892,4
Adxperience;464;1349,9
MiniMob;734;1345,06
Instal;726;820,96
Mobsai;232;796,95
Nanalab;111;766
StartApp;473;637,85
Buongiorno (taplinks);65;604,2
Collectcent;189;521,6
MoBrain (Headway);908;417,28
Art of Click;114;245,04
Avazu CPA;10;240
WinClap;217;235,77
Superads;48;211,5
Appcoach;210;162,66
Kwanko (Swelen);150;147
Digital Virgo;133;146,3
Tracsion;122;111,03
Digital Turbine;45;109,4
AlliTapp;56;86,95
Marvel Media;210;84
Appave;57;68,4
Gold360;137;54,8
JungleTap;73;48,89
Ximobi;5;46,5
DCyphermedia;34;46,4
MappStreet;52;45,3
Leadzinmarketing AFFTRACK;21;34,2
Rekket;17;29,92
Avazu;33;29,2
Adstract;36;29,07
Neomobile;92;27,3
Zenna;12;19,7
Mobrider;15;18,88
Click2commission CPA;20;18
Glize;3;17,25
3DM;8;15,9
Persona.ly;13;13,92
Mobilogia;25;13,62
Go-Rilla;17;11,4
Image Perfect;13;9,6
SmartLead;14;7,15
AdsFast;2;5,55
Mobobeat CPI;3;5,4
Basebone;13;4,8
Affle CPA;2;2,2
CPITraffic;1;1,95
ReGaming;1;1,83
Sabia Media;1;1,82
AddValue Media CPI;1;1,4
Laddez;2;1,1
Ad3traffic;1;0
Adacts;1;0
Addictive Ads;1;0
Adooya Crossrider CPA;1;0
Adstacks;1;0
Adwool;1;0
Affimobiz;1;0
App Promoters;1;0
BlackFox;1;0
CliqDigital;2;0
Crowmobi;1;0
DobleVia Latam;1;0
Doozymob;1;0
Epom Market;1;0
Eptonic;1;0
Grand Oro LP;1;0
IDB Group;2;0
Layroute;2;0
Linkadia CPA;1;0
Maverick CPA;1;0
Miri Media;1;0
MiskyAds;2;0
MobChain;1;0
Mobipium;1;0
Naranya CPA;9;0
Revenuemob;1;0
Seko Media;1;0
Softerik;1;0
Trooperads;1;0
